Promo_Date,Net_Revenue,PUs,Net_ARPPU,Performance_Category,Status
2026-04-19,86690.57,7412,11.70,Medium Revenue,INCLUDED
2026-04-21,92678.99,5611,16.52,Medium Revenue,INCLUDED
2026-04-23,84837.26,3044,27.87,Premium Segment,EXCLUDED
2026-04-24,41884.35,3223,13.00,Standard Revenue,EXCLUDED
2026-04-27,107662.90,8080,13.32,Medium Revenue,EXCLUDED
2026-04-30,78971.57,5391,14.65,Medium Revenue,INCLUDED
2026-05-02,135818.60,4847,28.02,High Revenue + Premium,EXCLUDED
2026-05-04,53596.35,4654,11.52,Standard Revenue,INCLUDED
2026-05-05,77750.80,6402,12.14,Medium Revenue,INCLUDED
2026-05-10,129755.66,4798,27.04,High Revenue + Premium,EXCLUDED
2026-05-12,130409.54,10435,12.50,High Revenue + Volume,INCLUDED
2026-05-15,94020.45,5921,15.88,Medium Revenue,EXCLUDED
2026-05-19,102844.94,3656,28.13,Premium Segment,EXCLUDED
2026-05-20,2.08,1,2.08,Test/Minimal,EXCLUDED
2026-05-23,126685.25,4557,27.80,High Revenue + Premium,EXCLUDED
2026-05-24,53476.35,3592,14.89,Standard Revenue,EXCLUDED
2026-05-26,65120.33,5752,11.32,Standard Revenue,EXCLUDED
2026-05-28,134504.26,4525,29.72,High Revenue + Premium,EXCLUDED
