date	name	desc
2026-06-01	Smash It New Season​  -June 01	
2026-06-01	Win Challenge - Shiny Card	
2026-06-01	smash it new season - market rewards	
2026-06-02	Ace loot 2* - 3*- 4*	
2026-06-02	Jewel Grove Sneak Peak - slot smashes for IC	
2026-06-03	Spin zone for  3* ACE CARD - 06/03	
2026-06-04	Win Master  on the new machine for clan pack	
2026-06-05	PYP - Shiny Limited	
2026-06-06	Gems machine challenge Spin zone  3* ace pack	
2026-06-06	Spin zone - hammer wheel	
2026-06-07	Finish 5 super dashes for 3* reg pack + AS	
2026-06-08	Win master for 3* ace pack	
2026-06-09	Dash complete 5 dashes to win bundle: Shiny show + 200 dash points +3* reg pack + 2 airstrikes	Shiny show + 200 dash points +3* reg pack + 2 Airstrikes
2026-06-10	PYP  4 ace pack -	
2026-06-11	Spinner clash World cup theme	1st - 5 ace 2nd - 4 ace 3rd - 3 ace 4rd +5th - 3* reg 6th-10th - coins
2026-06-12	MES 48 HR  - World Cup theme	for 48 hours, players will have 3 milestones Milestones, missions and prizes:  milestone 1: spin x times with min bet Complete the Shiny show make any purchase  Prize - 2 picks and 2 pab  milestone 2:  Win X Times Collect Hammers Open an Epic, Legendary, or Xtreme Pod  Prize - 3* Ace card   Milestone 3:  Get a Mega, Super, or Ultra Win Complete a SlotoQuest Island Make any purchase  Grand prize - 4* ace pack, PAB, 4 hammers
2026-06-14	Spin zone - hammer wheel	
2026-06-15	PYP  5 ace pack	
2026-06-16	Spin Zone - 4* Ace- 16/06	
2026-06-17	Win Master - 5* Ace - 17/06	
2026-06-18	Wild Supreme M.E.S (3 days)	reuse of the Clan Pack one (different branding, different prizes instead of clan pack)
2026-06-20	Father's PYP - 5* ACE CARD	
2026-06-21	MES - Spin zone - Wild ordinary	
2026-06-21	Spin Zone - 3* Reg + 4* Ace- Cancelled	
2026-06-21	Win master - AS wheel + 5 hammers	
2026-06-22	Mega Winner - 17:00 - 21:00 UTC	
2026-06-22	Spin Zone - Rare Pack	
2026-06-23	Woofing Wins - Slot Smashes	
2026-06-23	World Cup Theme - Ace Loot - 3/4/5* Aces - 48hrs	
2026-06-25	Jackpots Challenge -  4* Ace - MES	MES - win X jackpots in min bet only on Woofing Wins machine
2026-06-26	Pick your Path - Shiny Limited (Missions: Finish Shiny Show, Open 3 Pods (Excluding common), trigger FS (Gem machine), Finish 3 Dashes	
2026-06-27	World Cup Theme - Custom Pod	
2026-06-28	Spinner clash + test	
2026-06-29	M.E.S Cards - 2 Weeks Album	9 Milestones: 2* reg 2* ace 3* reg 3* ace 4* reg 4* ace 5* reg 5* ace WILD SUPREME
2026-06-30	Spin Zone - 2 PAB + 2 Picks - Cancelled	2 milestones PAB on the second
