Indexing existing August items on board...
2026-08-01: +1 ~13 -2 dup (rows 14)
2026-08-02: +0 ~5 -1 dup (rows 5)
2026-08-03: +0 ~10 -1 dup (rows 10)
2026-08-04: +1 ~10 -9 dup (rows 11)
2026-08-05: +1 ~7 -3 dup (rows 8)
2026-08-06: +0 ~9 -3 dup (rows 9)
2026-08-07: +0 ~8 -3 dup (rows 8)
2026-08-08: +1 ~8 -0 dup (rows 9)
2026-08-09: +0 ~7 -0 dup (rows 7)
2026-08-10: +0 ~9 -6 dup (rows 9)
2026-08-11: +2 ~11 -1 dup (rows 13)
2026-08-12: +1 ~6 -6 dup (rows 7)
2026-08-13: +0 ~10 -4 dup (rows 10)
2026-08-14: +0 ~9 -4 dup (rows 9)
2026-08-15: +0 ~8 -3 dup (rows 8)
2026-08-16: +0 ~8 -2 dup (rows 8)
2026-08-17: +0 ~8 -4 dup (rows 8)
2026-08-18: +2 ~10 -1 dup (rows 12)
2026-08-19: +1 ~6 -3 dup (rows 7)
2026-08-20: +2 ~8 -4 dup (rows 10)
2026-08-21: +2 ~9 -3 dup (rows 11)
2026-08-22: +1 ~10 -2 dup (rows 11)
2026-08-23: +1 ~4 -3 dup (rows 5)
2026-08-24: +0 ~8 -3 dup (rows 8)
2026-08-25: +3 ~11 -5 dup (rows 14)
2026-08-26: +3 ~7 -5 dup (rows 10)
2026-08-27: +1 ~8 -6 dup (rows 9)
2026-08-28: +0 ~7 -4 dup (rows 7)
2026-08-29: +0 ~8 -5 dup (rows 8)
2026-08-30: +1 ~7 -5 dup (rows 8)
2026-08-31: +0 ~8 -5 dup (rows 8)
Done. Created 24, updated 257, removed dupes 106.
