Indexing existing August items on board...
2026-08-01: +1 ~13 -0 dup (rows 14)
2026-08-02: +1 ~4 -0 dup (rows 5)
2026-08-03: +0 ~10 -0 dup (rows 10)
2026-08-04: +3 ~9 -1 dup (rows 12)
2026-08-05: +1 ~6 -0 dup (rows 7)
2026-08-06: +0 ~9 -0 dup (rows 9)
2026-08-07: +1 ~7 -0 dup (rows 8)
2026-08-08: +0 ~8 -0 dup (rows 8)
2026-08-09: +1 ~6 -0 dup (rows 7)
2026-08-10: +0 ~14 -0 dup (rows 14)
2026-08-11: +0 ~10 -0 dup (rows 10)
2026-08-12: +3 ~5 -1 dup (rows 8)
2026-08-13: +2 ~9 -1 dup (rows 11)
2026-08-14: +2 ~8 -1 dup (rows 10)
2026-08-15: +1 ~8 -1 dup (rows 9)
2026-08-16: +1 ~8 -1 dup (rows 9)
2026-08-17: +0 ~11 -0 dup (rows 11)
2026-08-18: +0 ~9 -0 dup (rows 9)
2026-08-19: +0 ~8 -0 dup (rows 8)
2026-08-20: +0 ~9 -0 dup (rows 9)
2026-08-21: +1 ~9 -0 dup (rows 10)
2026-08-22: +0 ~11 -0 dup (rows 11)
2026-08-23: +2 ~3 -0 dup (rows 5)
2026-08-24: +0 ~11 -0 dup (rows 11)
2026-08-25: +1 ~12 -0 dup (rows 13)
2026-08-26: +2 ~7 -0 dup (rows 9)
2026-08-27: +0 ~10 -0 dup (rows 10)
2026-08-28: +1 ~6 -0 dup (rows 7)
2026-08-29: +0 ~9 -0 dup (rows 9)
2026-08-30: +0 ~8 -0 dup (rows 8)
2026-08-31: +0 ~11 -0 dup (rows 11)
Done. Created 24, updated 268, removed dupes 6.
