Indexing existing August items on board...
2026-08-01: +1 ~13 -0 dup (rows 14)
2026-08-02: +0 ~5 -0 dup (rows 5)
2026-08-03: +0 ~10 -0 dup (rows 10)
2026-08-04: +0 ~12 -1 dup (rows 12)
2026-08-05: +0 ~7 -0 dup (rows 7)
2026-08-06: +0 ~9 -0 dup (rows 9)
2026-08-07: +0 ~8 -0 dup (rows 8)
2026-08-08: +0 ~8 -0 dup (rows 8)
2026-08-09: +0 ~7 -0 dup (rows 7)
2026-08-10: +0 ~14 -0 dup (rows 14)
2026-08-11: +0 ~10 -0 dup (rows 10)
2026-08-12: +0 ~8 -0 dup (rows 8)
2026-08-13: +0 ~11 -0 dup (rows 11)
2026-08-14: +0 ~10 -0 dup (rows 10)
2026-08-15: +0 ~9 -0 dup (rows 9)
2026-08-16: +0 ~9 -0 dup (rows 9)
2026-08-17: +0 ~11 -0 dup (rows 11)
2026-08-18: +1 ~9 -0 dup (rows 10)
2026-08-19: +0 ~7 -0 dup (rows 7)
2026-08-20: +1 ~9 -0 dup (rows 10)
2026-08-21: +0 ~10 -0 dup (rows 10)
2026-08-22: +0 ~11 -0 dup (rows 11)
2026-08-23: +0 ~5 -0 dup (rows 5)
2026-08-24: +0 ~11 -0 dup (rows 11)
2026-08-25: +0 ~13 -0 dup (rows 13)
2026-08-26: +0 ~9 -0 dup (rows 9)
2026-08-27: +0 ~10 -0 dup (rows 10)
2026-08-28: +0 ~7 -0 dup (rows 7)
2026-08-29: +0 ~9 -0 dup (rows 9)
2026-08-30: +0 ~8 -0 dup (rows 8)
2026-08-31: +0 ~11 -0 dup (rows 11)
Done. Created 3, updated 290, removed dupes 1.
