Indexing existing August items on board...
2026-08-01: +2 ~12 -0 dup (rows 14)
2026-08-02: +1 ~3 -0 dup (rows 4)
2026-08-03: +0 ~11 -0 dup (rows 11)
2026-08-04: +0 ~11 -1 dup (rows 11)
2026-08-05: +0 ~7 -0 dup (rows 7)
2026-08-06: +1 ~8 -0 dup (rows 9)
2026-08-07: +1 ~8 -0 dup (rows 9)
2026-08-08: +0 ~8 -0 dup (rows 8)
2026-08-09: +0 ~6 -0 dup (rows 6)
2026-08-10: +0 ~15 -0 dup (rows 15)
2026-08-11: +1 ~9 -0 dup (rows 10)
2026-08-12: +0 ~8 -0 dup (rows 8)
2026-08-13: +1 ~9 -0 dup (rows 10)
2026-08-14: +1 ~10 -0 dup (rows 11)
2026-08-15: +1 ~8 -0 dup (rows 9)
2026-08-16: +1 ~8 -0 dup (rows 9)
2026-08-17: +0 ~12 -0 dup (rows 12)
2026-08-18: +0 ~9 -0 dup (rows 9)
2026-08-19: +0 ~8 -0 dup (rows 8)
2026-08-20: +0 ~9 -0 dup (rows 9)
2026-08-21: +0 ~11 -0 dup (rows 11)
2026-08-22: +0 ~11 -0 dup (rows 11)
2026-08-23: +0 ~5 -0 dup (rows 5)
2026-08-24: +0 ~11 -0 dup (rows 11)
2026-08-25: +1 ~13 -0 dup (rows 14)
2026-08-26: +0 ~8 -0 dup (rows 8)
2026-08-27: +1 ~9 -0 dup (rows 10)
2026-08-28: +1 ~6 -0 dup (rows 7)
2026-08-29: +2 ~7 -0 dup (rows 9)
2026-08-30: +2 ~6 -0 dup (rows 8)
2026-08-31: +1 ~10 -0 dup (rows 11)
Done. Created 18, updated 276, removed dupes 1.
